Alejandro Grove,GBC DocuBind TL300 Electric Binding System,Binders and Binder Accessories,Office Supplies,23106.4609375
Alejandro Grove,GBC DocuBind 300 Electric Binding Machine,Binders and Binder Accessories,Office Supplies,18092.66015625
Alejandro Grove,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Chairs & Chairmats,Furniture,11002.66015625
Alejandro Grove,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Tables,Furniture,10351.009765625
Alejandro Grove,Hoover Commercial Lightweight Upright Vacuum with E-Z Empty Dirt Cup,Appliances,Office Supplies,9081.98046875
Alejandro Grove,Hon 94000 Series Round Tables,Tables,Furniture,7287.5498046875
Alejandro Grove,Hon Deluxe Fabric Upholstered Stacking Chairs,Chairs & Chairmats,Furniture,2549.580078125
Alejandro Grove,Quality Park Security Envelopes,Envelopes,Office Supplies,806.080017089844
Alejandro Grove,"6"" Cubicle Wall Clock, Black",Office Furnishings,Furniture,363.920013427734
Alejandro Grove,"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",Office Furnishings,Furniture,311.190002441406
Alejandro Grove,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Paper,Office Supplies,306.299987792969
Alejandro Grove,Avery Hi-Liter Pen Style Six-Color Fluorescent Set,Pens & Art Supplies,Office Supplies,163.979995727539
Alejandro Grove,Eldon Jumbo ProFile Portable File Boxes Graphite/Black,Storage & Organization,Office Supplies,70.0199966430664
Alejandro Grove,Avery 507,Labels,Office Supplies,68.5400009155273
Darren Budd,Sharp AL-1530CS Digital Copier,Copiers and Fax,Technology,23949.509765625
Darren Budd,Telescoping Adjustable Floor Lamp,Office Furnishings,Furniture,12635.75
Darren Budd,Bevis Steel Folding Chairs,Chairs & Chairmats,Furniture,10341.4697265625
Darren Budd,Canon MP100DHII Printing Calculator,Office Machines,Technology,7235.830078125
Darren Budd,"O'Sullivan Elevations Bookcase, Cherry Finish",Bookcases,Furniture,4581.5400390625
Darren Budd,232,Telephones and Communication,Technology,2750.10693359375
Darren Budd,Eldon Expressions Mahogany Wood Desk Collection,Office Furnishings,Furniture,2305.75
Darren Budd,Hon 4060 Series Tables,Tables,Furniture,2062.75
Darren Budd,Staples Plastic Wall Frames,Office Furnishings,Furniture,1785.73999023438
